Resistance (ohms),Temperature (K)
39.2,122.1048
39.3,122.345
39.4,122.5853
39.5,122.8256
39.6,123.0658
39.7,123.3061
39.8,123.5464
39.9,123.7866
40.0,124.0269
40.1,124.2672
40.2,124.5074
40.3,124.7477
40.4,124.988
40.5,125.2283
40.6,125.4685
40.7,125.7088
40.8,125.9491
40.9,126.1893
41.0,126.4296
41.1,126.6699
41.2,126.9101
41.3,127.1504
41.4,127.3907
41.5,127.6309
41.6,127.8712
41.7,128.1115
41.8,128.3518
41.9,128.592
42.0,128.8323
42.1,129.0726
42.2,129.3128
42.3,129.5531
42.4,129.7934
42.5,130.0336
42.6,130.2739
42.7,130.5142
42.8,130.7544
42.9,130.9947
43.0,131.235
43.1,131.4753
43.2,131.7155
43.3,131.9558
43.4,132.1961
43.5,132.4363
43.6,132.6766
43.7,132.9169
43.8,133.1571
43.9,133.3974
44.0,133.6377
44.1,133.8779
44.2,134.1182
44.3,134.3585
44.4,134.5988
44.5,134.839
44.6,135.0793
44.7,135.3196
44.8,135.5598
44.9,135.8001
45.0,136.0404
45.1,136.2806
45.2,136.5209
45.3,136.7612
45.4,137.0014
45.5,137.2417
45.6,137.482
45.7,137.7222
45.8,137.9625
45.9,138.2028
46.0,138.4431
46.1,138.6833
46.2,138.9236
46.3,139.1639
46.4,139.4041
46.5,139.6444
46.6,139.8847
46.7,140.1274
46.8,140.3723
46.9,140.6172
47.0,140.8621
47.1,141.107
47.2,141.3519
47.3,141.5969
47.4,141.8418
47.5,142.0867
47.6,142.3316
47.7,142.5765
47.8,142.8215
47.9,143.0664
48.0,143.3113
48.1,143.5562
48.2,143.8011
48.3,144.046
48.4,144.291
48.5,144.5359
48.6,144.7808
48.7,145.0257
48.8,145.2706
48.9,145.5156
49.0,145.7605
49.1,146.0054
49.2,146.2503
49.3,146.4952
49.4,146.7401
49.5,146.9851
49.6,147.23
49.7,147.4749
49.8,147.7198
49.9,147.9647
50.0,148.2096
50.1,148.4546
50.2,148.6995
50.3,148.9444
50.4,149.1893
50.5,149.4342
50.6,149.6792
50.7,149.9241
50.8,150.169
50.9,150.4139
51.0,150.6588
51.1,150.9037
51.2,151.1487
51.3,151.3936
51.4,151.6385
51.5,151.8834
51.6,152.1283
51.7,152.3733
51.8,152.6182
51.9,152.8631
52.0,153.108
52.1,153.3529
52.2,153.5978
52.3,153.8428
52.4,154.0877
52.5,154.3326
52.6,154.5775
52.7,154.8224
52.8,155.0674
52.9,155.3123
53.0,155.5572
53.1,155.8021
53.2,156.047
53.3,156.2919
53.4,156.5369
53.5,156.7818
53.6,157.0267
53.7,157.2716
53.8,157.5165
53.9,157.7614
54.0,158.0064
54.1,158.2513
54.2,158.4962
54.3,158.7411
54.4,158.986
54.5,159.231
54.6,159.4759
54.7,159.7208
54.8,159.9657
54.9,160.2106
55.0,160.4555
55.1,160.7005
55.2,160.9454
55.3,161.1903
55.4,161.4352
55.5,161.6801
55.6,161.9251
55.7,162.17
55.8,162.4149
55.9,162.6598
56.0,162.9047
56.1,163.1496
56.2,163.3946
56.3,163.6395
56.4,163.8844
56.5,164.1293
56.6,164.3742
56.7,164.6192
56.8,164.8641
56.9,165.109
57.0,165.3539
57.1,165.5988
57.2,165.8437
57.3,166.0887
57.4,166.3336
57.5,166.5785
57.6,166.8234
57.7,167.0683
57.8,167.3133
57.9,167.5582
58.0,167.8031
58.1,168.048
58.2,168.2929
58.3,168.5378
58.4,168.7828
58.5,169.0277
58.6,169.2726
58.7,169.5175
58.8,169.7624
58.9,170.0073
59.0,170.2523
59.1,170.4972
59.2,170.7421
59.3,170.987
59.4,171.2319
59.5,171.4769
59.6,171.7218
59.7,171.9667
59.8,172.2116
59.9,172.4565
60.0,172.7014
60.1,172.9464
60.2,173.1913
60.3,173.4362
60.4,173.6811
60.5,173.926
60.6,174.171
60.7,174.4159
60.8,174.6608
60.9,174.9057
61.0,175.1506
61.1,175.3955
61.2,175.6405
61.3,175.8854
61.4,176.1303
61.5,176.3752
61.6,176.6201
61.7,176.8651
61.8,177.11
61.9,177.3549
62.0,177.5998
62.1,177.8447
62.2,178.0896
62.3,178.3346
62.4,178.5795
62.5,178.8244
62.6,179.0693
62.7,179.3142
