Resistance (ohms),Temperature (K)
157.3,423.145
157.4,423.4126
157.5,423.6803
157.6,423.9479
157.7,424.2155
157.8,424.4832
157.9,424.7508
158.0,425.0184
158.1,425.2861
158.2,425.5537
158.3,425.8213
158.4,426.089
158.5,426.3566
158.6,426.6242
158.7,426.8919
158.8,427.1595
158.9,427.4271
159.0,427.6948
159.1,427.9624
159.2,428.23
159.3,428.4977
159.4,428.7653
159.5,429.0329
159.6,429.3006
159.7,429.5682
159.8,429.8359
159.9,430.1035
160.0,430.3711
160.1,430.6388
160.2,430.9064
160.3,431.174
160.4,431.4417
160.5,431.7093
160.6,431.9769
160.7,432.2446
160.8,432.5122
160.9,432.7798
161.0,433.0475
161.1,433.3151
161.2,433.5827
161.3,433.8504
161.4,434.118
161.5,434.3856
161.6,434.6533
161.7,434.9209
161.8,435.1885
161.9,435.4562
162.0,435.7238
162.1,435.9914
162.2,436.2591
162.3,436.5267
162.4,436.7943
162.5,437.062
162.6,437.3296
162.7,437.5972
162.8,437.8649
162.9,438.1325
163.0,438.4001
163.1,438.6678
163.2,438.9354
163.3,439.203
163.4,439.4707
163.5,439.7383
163.6,440.0059
163.7,440.2736
163.8,440.5412
163.9,440.8088
164.0,441.0765
164.1,441.3441
164.2,441.6118
164.3,441.8794
164.4,442.147
164.5,442.4147
164.6,442.6823
164.7,442.9499
164.8,443.2176
164.9,443.4852
165.0,443.7528
165.1,444.0205
165.2,444.2881
165.3,444.5557
165.4,444.8234
165.5,445.0923
165.6,445.3639
165.7,445.6355
165.8,445.9071
165.9,446.1787
166.0,446.4503
166.1,446.7219
166.2,446.9935
166.3,447.2651
166.4,447.5367
166.5,447.8083
166.6,448.0798
166.7,448.3514
166.8,448.623
166.9,448.8946
167.0,449.1662
167.1,449.4378
167.2,449.7094
167.3,449.981
167.4,450.2526
167.5,450.5242
167.6,450.7958
167.7,451.0674
167.8,451.3389
167.9,451.6105
168.0,451.8821
168.1,452.1537
168.2,452.4253
168.3,452.6969
168.4,452.9685
168.5,453.2401
168.6,453.5117
168.7,453.7833
168.8,454.0549
168.9,454.3265
169.0,454.598
169.1,454.8696
169.2,455.1412
169.3,455.4128
169.4,455.6844
169.5,455.956
169.6,456.2276
169.7,456.4992
169.8,456.7708
169.9,457.0424
170.0,457.314
170.1,457.5856
170.2,457.8571
170.3,458.1287
170.4,458.4003
170.5,458.6719
170.6,458.9435
170.7,459.2151
170.8,459.4867
170.9,459.7583
171.0,460.0299
171.1,460.3015
171.2,460.5731
171.3,460.8446
171.4,461.1162
171.5,461.3878
171.6,461.6594
171.7,461.931
171.8,462.2026
171.9,462.4742
172.0,462.7458
172.1,463.0174
172.2,463.289
172.3,463.5606
172.4,463.8322
172.5,464.1037
172.6,464.3753
172.7,464.6469
172.8,464.9185
172.9,465.1901
173.0,465.4617
173.1,465.7333
173.2,466.0049
173.3,466.2765
173.4,466.5481
173.5,466.8197
173.6,467.0913
173.7,467.3628
173.8,467.6344
173.9,467.906
174.0,468.1776
174.1,468.4492
174.2,468.7208
174.3,468.9924
174.4,469.264
174.5,469.5356
174.6,469.8072
174.7,470.0788
174.8,470.3504
174.9,470.6219
175.0,470.8935
175.1,471.1651
175.2,471.4367
175.3,471.7083
175.4,471.9799
175.5,472.2515
175.6,472.5231
175.7,472.7947
175.8,473.0663
175.9,473.3379
176.0,473.6095
176.1,473.881
176.2,474.1526
176.3,474.4242
176.4,474.6958
176.5,474.9674
176.6,475.239
176.7,475.5106
176.8,475.7822
176.9,476.0538
177.0,476.3254
177.1,476.597
177.2,476.8685
177.3,477.1401
177.4,477.4117
177.5,477.6833
177.6,477.9549
177.7,478.2265
177.8,478.4981
177.9,478.7697
178.0,479.0413
178.1,479.3129
178.2,479.5845
178.3,479.8561
178.4,480.1276
178.5,480.3992
178.6,480.6708
178.7,480.9424
178.8,481.214
178.9,481.4856
179.0,481.7572
179.1,482.0288
179.2,482.3004
179.3,482.572
179.4,482.8436
179.5,483.1152
179.6,483.3867
179.7,483.6583
179.8,483.9299
179.9,484.2015
180.0,484.4731
180.1,484.7447
180.2,485.0163
180.3,485.2879
180.4,485.5595
180.5,485.8311
180.6,486.1027
180.7,486.3743
180.8,486.6458
180.9,486.9174
181.0,487.189
181.1,487.4606
181.2,487.7322
181.3,488.0038
181.4,488.2754
181.5,488.547
181.6,488.8186
181.7,489.0902
181.8,489.3618
181.9,489.6334
182.0,489.9049
182.1,490.1789
182.2,490.4541
182.3,490.7293
182.4,491.0045
182.5,491.2797
182.6,491.555
182.7,491.8302
182.8,492.1054
182.9,492.3806
183.0,492.6558
183.1,492.931
183.2,493.2062
183.3,493.4814
183.4,493.7567
183.5,494.0319
183.6,494.3071
183.7,494.5823
183.8,494.8575
183.9,495.1327
184.0,495.4079
184.1,495.6831
184.2,495.9584
184.3,496.2336
184.4,496.5088
184.5,496.784
184.6,497.0592
184.7,497.3344
184.8,497.6096
184.9,497.8848
185.0,498.1601
185.1,498.4353
185.2,498.7105
185.3,498.9857
185.4,499.2609
185.5,499.5361
185.6,499.8113
185.7,500.0865
185.8,500.3618
185.9,500.637
186.0,500.9122
186.1,501.1874
186.2,501.4626
186.3,501.7378
186.4,502.013
186.5,502.2882
186.6,502.5635
186.7,502.8387
186.8,503.1139
186.9,503.3891
187.0,503.6643
187.1,503.9395
187.2,504.2147
187.3,504.4899
187.4,504.7652
187.5,505.0404
187.6,505.3156
187.7,505.5908
187.8,505.866
187.9,506.1412
188.0,506.4164
188.1,506.6916
188.2,506.9669
188.3,507.2421
188.4,507.5173
188.5,507.7925
188.6,508.0677
188.7,508.3429
188.8,508.6181
188.9,508.8933
189.0,509.1686
189.1,509.4438
189.2,509.719
189.3,509.9942
189.4,510.2694
189.5,510.5446
189.6,510.8198
189.7,511.095
189.8,511.3703
189.9,511.6455
190.0,511.9207
190.1,512.1959
190.2,512.4711
190.3,512.7463
190.4,513.0215
190.5,513.2967
190.6,513.572
190.7,513.8472
190.8,514.1224
190.9,514.3976
191.0,514.6728
191.1,514.948
191.2,515.2232
191.3,515.4984
191.4,515.7737
191.5,516.0489
191.6,516.3241
191.7,516.5993
191.8,516.8745
191.9,517.1497
192.0,517.4249
192.1,517.7001
192.2,517.9754
192.3,518.2506
192.4,518.5258
192.5,518.801
192.6,519.0762
192.7,519.3514
192.8,519.6266
192.9,519.9018
193.0,520.1771
193.1,520.4523
193.2,520.7275
193.3,521.0027
