,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
129,000.0000,002.6360,005.3221,008.0606,010.8543,013.7061,016.6189,019.5963,022.6420,025.7601,028.9549,032.2314,035.5951,039.0519,042.6086,046.2726,050.0523,053.9573,057.9984,062.1878,066.5398
130,000.0000,002.6152,005.2788,007.9932,010.7609,013.5844,016.4668,019.4113,022.4212,025.5003,028.6527,031.8829,035.1959,038.5971,042.0926,045.6891,049.3941,053.2161,057.1645,061.2502,065.4855
131,000.0000,002.5947,005.2363,007.9270,010.6691,013.4652,016.3179,019.2302,022.2054,025.2467,028.3582,031.5438,034.8081,038.1560,041.5931,045.1255,048.7597,052.5034,056.3650,060.3539,064.4809
132,000.0000,002.5745,005.1945,007.8619,010.5791,013.3483,016.1720,019.0531,021.9944,024.9993,028.0711,031.2136,034.4311,037.7280,041.1093,044.5805,048.1476,051.8174,055.5973,059.4956,063.5218
133,000.0000,002.5547,005.1534,007.7980,010.4907,013.2336,016.0291,018.8797,021.7882,024.7576,027.7910,030.8921,034.0645,037.3123,040.6403,044.0531,047.5564,051.1562,054.8590,058.6723,062.6043
134,000.0000,002.5351,005.1129,007.7352,010.4039,013.1211,015.8889,018.7099,021.5865,024.5214,027.5178,030.5787,033.7076,036.9084,040.1851,043.5423,046.9848,050.5181,054.1481,057.8813,061.7251
135,000.0000,002.5159,005.0731,007.6734,010.3186,013.0106,015.7515,018.5436,021.3891,024.2906,027.2510,030.2730,033.3601,036.5155,039.7431,043.0470,046.4316,049.9017,053.4627,057.1204,060.8813
136,000.0000,002.4969,005.0340,007.6127,010.2349,012.9022,015.6168,018.3806,021.1959,024.0649,026.9904,029.9749,033.0215,036.1332,039.3137,042.5665,045.8956,049.3056,052.8011,056.3874,060.0702
137,000.0000,002.4783,004.9954,007.5530,010.1526,012.7958,015.4846,018.2209,021.0067,023.8442,026.7357,029.6839,032.6913,035.7610,038.8961,042.0999,045.3760,048.7286,052.1619,055.6805,059.2895
138,000.0000,002.4599,004.9575,007.4943,010.0717,012.6913,015.3550,018.0643,020.8214,023.6281,026.4868,029.3997,032.3693,035.3984,038.4897,041.6465,044.8719,048.1696,051.5436,054.9979,058.5371
139,000.0000,002.4418,004.9202,007.4365,009.9922,012.5887,015.2277,017.9108,020.6398,023.4167,026.2434,029.1221,032.0551,035.0449,038.0941,041.2056,044.3823,047.6276,050.9450,054.3381,057.8112
140,000.0000,002.4239,004.8834,007.3797,009.9140,012.4879,015.1027,017.7602,020.4619,023.2096,026.0052,028.8508,031.7483,034.7002,037.7088,040.7767,043.9067,047.1017,050.3649,053.6998,057.1100
141,000.0000,002.4064,004.8472,007.3237,009.8371,012.3888,014.9801,017.6124,020.2875,023.0068,025.7722,028.5855,031.4487,034.3638,037.3332,040.3591,043.4441,046.5909,049.8024,053.0817,056.4320
142,000.0000,002.3891,004.8116,007.2687,009.7616,012.2914,014.8596,017.4674,020.1164,022.8081,025.5441,028.3260,031.1559,034.0355,036.9669,039.9523,042.9941,046.0946,049.2565,052.4826,055.7759
